"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","고등부1학년 전입학생수","고등부1학년 전출학생수","고등부1학년 전체학생수","고등부2학년 전입학생수","고등부2학년 전출학생수","고등부2학년 전체학생수","고등부3학년 전입학생수","고등부3학년 전출학생수","고등부3학년 전체학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","0","0","151","0","0","150","0","0","148","0","0","449"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","8","7","318","0","8","349","0","0","324","8","15","991"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","0","3","180","0","1","173","0","0","177","0","4","530"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","15","19","396","14","6","457","0","2","478","29","27","1331"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","10","12","299","3","10","313","3","0","360","16","22","972"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","17","10","590","4","7","608","0","0","617","21","17","1815"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","22","26","393","8","8","416","1","0","460","31","34","1269"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","17","11","456","5","6","511","0","0","484","22","17","1451"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","13","17","561","1","3","574","0","0","623","14","20","1758"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","8","8","541","0","4","595","0","3","587","8","15","1723"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","11","22","255","8","3","386","1","1","372","20","26","1013"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","45","29","279","4","2","253","0","1","324","49","32","856"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","28","15","514","8","11","517","4","0","558","40","26","1589"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","10","16","289","2","6","310","1","2","302","13","24","901"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","12","6","308","9","7","306","0","1","308","21","14","922"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","26","23","391","10","3","392","0","0","399","36","26","1182"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","36","17","499","12","4","516","1","2","582","49","23","1597"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","5","24","286","3","5","264","1","0","260","9","29","810"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","9","13","276","0","5","285","0","1","309","9","19","870"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","14","11","250","7","5","253","0","0","256","21","16","759"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","16","10","350","6","2","399","0","0","386","22","12","1135"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","14","12","331","4","5","298","0","0","299","18","17","928"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","13","21","264","7","1","312","2","1","337","22","23","913"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","25","14","393","16","11","393","1","5","447","42","30","1233"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","32","30","641","16","14","610","1","3","601","49","47","1852"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000392","광문고등학교","04","사립","N","","15","11","458","2","6","490","0","0","512","17","17","1460"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000393","광성고등학교","04","사립","N","","23","5","315","6","0","308","2","1","315","31","6","938"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000394","광신고등학교","04","사립","N","","22","14","391","4","8","373","0","0","385","26","22","1149"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","2","18","349","7","8","319","0","0","444","9","26","1112"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000396","광영고등학교","04","사립","N","","13","10","445","12","10","456","6","2","485","31","22","1386"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000397","광영여자고등학교","04","사립","N","","6","19","496","0","7","512","1","1","530","7","27","1538"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","33","19","427","10","4","438","2","3","453","45","26","1318"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","33","17","462","7","6","473","1","1","463","41","24","1398"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","29","42","442","16","10","436","0","0","479","45","52","1357"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","7","19","298","7","7","298","1","1","320","15","27","916"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","7","11","336","9","7","320","0","2","312","16","20","968"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000403","남강고등학교","04","사립","N","","24","9","391","6","6","402","1","1","457","31","16","1250"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","16","8","357","8","5","347","2","0","370","26","13","1074"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000405","단국대학교사범대학부속고등학교","04","사립","N","","5","11","570","1","7","571","0","4","536","6","22","1677"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","4","33","346","0","12","351","0","3","332","4","48","1029"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000407","대광고등학교","04","사립","N","","15","16","324","1","7","291","0","0","342","16","23","957"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000408","대성고등학교","04","사립","N","","14","19","420","3","11","437","0","0","430","17","30","1287"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000409","대신고등학교","04","사립","N","","17","16","349","12","16","327","0","0","362","29","32","1038"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","3","12","300","4","4","282","0","1","278","7","17","860"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000411","대원고등학교","04","사립","N","","19","19","434","11","2","469","0","0","429","30","21","1332"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000412","대원여자고등학교","04","사립","N","","14","15","456","3","8","446","0","0","445","17","23","1347"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000413","대일고등학교","04","사립","N","","16","20","547","5","4","550","1","1","584","22","25","1681"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000414","대진고등학교","04","사립","N","","14","29","562","3","13","553","2","0","568","19","42","1683"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000415","대진여자고등학교","04","사립","N","","15","17","552","9","7","534","0","0","532","24","24","1618"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000416","대진디자인고등학교","04","사립","N","","0","8","226","0","5","212","0","0","214","0","13","652"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000417","덕성여자고등학교","04","사립","N","","4","7","323","5","5","308","0","1","274","9","13","905"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000418","덕원여자고등학교","04","사립","N","","9","16","531","5","5","501","0","1","544","14","22","1576"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","21","12","341","18","6","353","3","0","389","42","18","1083"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000420","동국대학교사범대학부속고등학교","04","사립","N","","31","15","475","5","10","490","1","1","559","37","26","1524"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000421","동덕여자고등학교","04","사립","N","","19","17","477","11","6","506","5","0","536","35","23","1519"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000422","동명여자고등학교","04","사립","N","","24","13","496","12","3","498","0","0","463","36","16","1457"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000423","동북고등학교","04","사립","N","","15","16","556","5","5","582","1","3","608","21","24","1746"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000424","동성고등학교","04","사립","N","","15","29","369","2","6","273","0","1","315","17","36","957"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000425","동일여자고등학교","04","사립","N","","13","12","485","11","6","419","1","2","484","25","20","1388"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000426","서울매그넷고등학교","04","사립","N","","2","11","362","0","6","346","1","0","371","3","17","1079"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","14","17","432","11","6","395","3","0","424","28","23","1251"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","16","9","408","6","8","433","1","1","473","23","18","1314"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000429","마포고등학교","04","사립","N","","6","6","410","3","3","441","0","0","462","9","9","1313"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","4","23","332","2","5","354","0","0","331","6","28","1017"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000431","명덕고등학교","04","사립","N","","9","15","399","4","7","377","1","0","383","14","22","1159"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000432","명덕여자고등학교","04","사립","N","","15","10","582","2","6","574","1","1","613","18","17","1769"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000433","동국대학교사범대학부속여자고등학교","04","사립","N","","14","18","416","8","6","418","1","1","430","23","25","1264"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000434","명일여자고등학교","04","공립","N","","9","12","370","4","7","418","0","0","409","13","19","1197"
"서울특별시교육청","서울특별시교육청","서울특별시 서대문구","S010000435","명지고등학교","04","사립","N","","12","20","592","7","6","698","0","0","604","19","26","1894"
"서울특별시교육청","서울특별시교육청","서울특별시 성동구","S010000436","무학여자고등학교","04","공립","N","","16","19","457","2","5","493","0","0","467","18","24","1417"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000437","서울문영여자고등학교","04","사립","N","","20","10","368","11","3","313","0","1","322","31","14","1003"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000438","문일고등학교","04","사립","N","","36","26","485","8","9","508","1","1","547","45","36","1540"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000439","미림여자고등학교","04","사립","N","","28","52","220","5","12","239","0","0","254","33","64","713"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000440","반포고등학교","04","공립","N","","26","24","435","8","10","395","0","1","369","34","35","1199"
