"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","고등부1학년 전입학생수","고등부1학년 전출학생수","고등부1학년 전체학생수","고등부2학년 전입학생수","고등부2학년 전출학생수","고등부2학년 전체학생수","고등부3학년 전입학생수","고등부3학년 전출학생수","고등부3학년 전체학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","0","0","150","0","1","148","0","0","148","0","1","446"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","4","3","321","0","0","312","0","1","340","4","4","973"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","0","0","178","0","0","171","0","0","172","0","0","521"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","12","15","351","12","12","388","0","2","455","24","29","1194"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","8","7","302","4","3","289","0","1","299","12","11","890"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","22","15","557","13","12","592","2","1","598","37","28","1747"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","14","10","406","18","10","385","0","0","414","32","20","1205"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","12","11","475","3","5","457","1","1","510","16","17","1442"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","21","16","608","5","4","560","0","0","569","26","20","1737"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","11","11","538","1","3","539","0","0","598","12","14","1675"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","5","8","219","3","4","247","0","1","385","8","13","851"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","43","26","295","1","3","259","0","0","252","44","29","806"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","18","18","423","6","6","514","0","0","507","24","24","1444"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","7","10","244","5","3","280","0","0","307","12","13","831"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","8","8","256","7","3","305","2","1","301","17","12","862"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","16","13","338","9","10","381","2","0","396","27","23","1115"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","23","10","455","10","4","498","0","2","512","33","16","1465"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","8","8","262","3","9","264","0","0","259","11","17","785"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","11","7","256","2","4","268","0","0","276","13","11","800"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","6","3","206","5","6","246","0","0","250","11","9","702"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","21","14","279","6","4","352","3","0","400","30","18","1031"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","9","8","340","3","2","326","1","0","292","13","10","958"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","15","6","239","4","6","254","0","0","317","19","12","810"
