"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","고등부1학년 전입학생수","고등부1학년 전출학생수","고등부1학년 전체학생수","고등부2학년 전입학생수","고등부2학년 전출학생수","고등부2학년 전체학생수","고등부3학년 전입학생수","고등부3학년 전출학생수","고등부3학년 전체학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","0","3","150","0","3","143","0","0","150","0","6","443"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","12","6","272","6","4","298","0","0","299","18","10","869"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","0","6","180","0","0","178","0","0","169","0","6","527"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","18","12","289","11","7","349","0","0","347","29","19","985"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000371","강동고등학교","04","사립","N","","4","6","220","4","6","305","0","0","254","8","12","779"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000372","강서고등학교","04","사립","N","","8","21","351","9","8","507","1","1","545","18","30","1403"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000373","개포고등학교","04","공립","N","","7","6","260","0","0","358","2","1","365","9","7","983"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000374","건국대학교사범대학부속고등학교","04","사립","N","","20","9","379","27","15","489","1","2","474","48","26","1342"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000375","경기고등학교","04","공립","N","","26","23","443","8","14","540","2","1","542","36","38","1525"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000376","경기여자고등학교","04","공립","N","","6","13","425","3","2","522","1","1","570","10","16","1517"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000377","경동고등학교","04","공립","N","","17","10","177","2","9","216","1","0","242","20","19","635"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000378","경문고등학교","04","사립","N","","14","36","250","3","13","309","0","0","297","17","49","856"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000379","경복고등학교","04","공립","N","","15","15","335","7","9","409","2","0","395","24","24","1139"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000380","경복여자고등학교","04","사립","N","","7","10","274","2","15","291","0","0","254","9","25","819"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000381","경성고등학교","04","사립","N","","18","12","238","4","3","295","1","1","260","23","16","793"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000382","경신고등학교","04","사립","N","","20","23","268","5","10","330","1","1","320","26","34","918"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000383","경인고등학교","04","공립","N","","28","8","430","12","3","439","0","0","433","40","11","1302"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000384","경희고등학교","04","사립","N","","20","44","269","4","13","263","0","1","261","24","58","793"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000385","경희여자고등학교","04","사립","N","","3","13","198","3","11","256","0","2","266","6","26","720"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000386","계성고등학교","04","사립","N","","9","0","334","3","0","369","0","0","253","12","0","956"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010000387","고려대학교사범대학부속고등학교","04","사립","N","","13","5","281","2","6","360","0","0","299","15","11","940"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000388","고척고등학교","04","공립","N","","18","4","295","2","3","349","1","0","327","21","7","971"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000389","공항고등학교","04","공립","N","","15","8","154","7","3","172","0","1","222","22","12","548"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000390","관악고등학교","04","공립","N","","23","12","235","16","7","288","1","0","295","40","19","818"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000391","광남고등학교","04","공립","N","","21","15","412","11","2","539","0","0","507","32","17","1458"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000392","광문고등학교","04","사립","N","","18","9","378","10","7","437","0","0","438","28","16","1253"
"서울특별시교육청","서울특별시교육청","서울특별시 마포구","S010000393","광성고등학교","04","사립","N","","17","9","246","6","5","311","0","0","270","23","14","827"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000394","광신고등학교","04","사립","N","","12","7","222","11","3","251","0","0","277","23","10","750"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000395","광양고등학교","04","공립","N","","17","10","197","5","1","253","1","1","266","23","12","716"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000396","광영고등학교","04","사립","N","","9","9","310","7","4","367","0","3","350","16","16","1027"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000397","광영여자고등학교","04","사립","N","","14","9","354","6","7","399","0","2","404","20","18","1157"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000398","구로고등학교","04","공립","N","","21","7","305","12","6","344","0","0","356","33","13","1005"
"서울특별시교육청","서울특별시교육청","서울특별시 구로구","S010000399","구일고등학교","04","공립","N","","21","6","280","8","3","419","3","1","403","32","10","1102"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000400","압구정고등학교","04","공립","N","","24","19","248","10","14","346","3","0","340","37","33","934"
"서울특별시교육청","서울특별시교육청","서울특별시 양천구","S010000401","금옥여자고등학교","04","공립","N","","15","12","265","4","9","321","0","1","314","19","22","900"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000402","금천고등학교","04","공립","N","","18","8","268","6","4","326","0","3","336","24","15","930"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000403","남강고등학교","04","사립","N","","17","7","280","9","5","306","0","2","288","26","14","874"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000404","노원고등학교","04","공립","N","","19","21","218","5","7","299","1","2","252","25","30","769"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000405","단국대학교사범대학부속고등학교","04","사립","N","","21","8","390","9","8","522","1","0","542","31","16","1454"
"서울특별시교육청","서울특별시교육청","서울특별시 관악구","S010000406","당곡고등학교","04","공립","N","","11","5","258","10","5","336","2","2","331","23","12","925"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000407","대광고등학교","04","사립","N","","10","29","350","6","1","346","2","1","340","18","31","1036"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000408","대성고등학교","04","사립","N","","0","0","352","4","3","348","0","0","350","4","3","1050"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000409","대신고등학교","04","사립","N","","7","15","261","9","10","294","0","2","272","16","27","827"
"서울특별시교육청","서울특별시교육청","서울특별시 영등포구","S010000410","대영고등학교","04","공립","N","","9","5","246","8","4","294","0","0","275","17","9","815"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000411","대원고등학교","04","사립","N","","11","13","312","6","5","357","1","0","341","18","18","1010"
"서울특별시교육청","서울특별시교육청","서울특별시 광진구","S010000412","대원여자고등학교","04","사립","N","","17","10","247","7","6","343","1","0","346","25","16","936"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000413","대일고등학교","04","사립","N","","12","7","421","0","2","407","1","2","379","13","11","1207"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000414","대진고등학교","04","사립","N","","5","18","412","4","5","501","0","0","506","9","23","1419"
"서울특별시교육청","서울특별시교육청","서울특별시 노원구","S010000415","대진여자고등학교","04","사립","N","","13","7","388","4","12","490","0","0","529","17","19","1407"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010000416","대진디자인고등학교","04","사립","N","","7","6","233","4","6","226","0","0","232","11","12","691"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000417","덕성여자고등학교","04","사립","N","","7","11","271","5","5","308","0","1","256","12","17","835"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000418","덕원여자고등학교","04","사립","N","","6","11","445","8","11","451","0","0","447","14","22","1343"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000419","독산고등학교","04","공립","N","","20","10","211","17","2","259","2","0","271","39","12","741"
"서울특별시교육청","서울특별시교육청","서울특별시 동대문구","S010000420","동국대학교사범대학부속고등학교","04","사립","N","","23","14","344","12","6","419","0","2","389","35","22","1152"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010000421","동덕여자고등학교","04","사립","N","","16","7","370","4","11","430","3","3","452","23","21","1252"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010000422","동명여자고등학교","04","사립","N","","25","7","403","1","9","486","0","0","427","26","16","1316"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000423","동북고등학교","04","사립","N","","23","20","420","8","13","561","1","0","486","32","33","1467"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010000424","동성고등학교","04","사립","N","","11","66","374","4","11","373","0","3","347","15","80","1094"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000425","동일여자고등학교","04","사립","N","","12","14","264","1","5","317","0","1","323","13","20","904"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010000426","서울매그넷고등학교","04","사립","N","","12","22","285","0","7","298","0","0","297","12","29","880"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010000427","동작고등학교","04","공립","N","","27","9","243","13","3","298","4","2","285","44","14","826"
"서울특별시교육청","서울특별시교육청","서울특별시 강동구","S010000428","둔촌고등학교","04","공립","N","","16","11","267","7","1","305","1","1","299","24","13","871"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000429","마포고등학교","04","사립","N","","8","14","316","6","5","346","1","0","338","15","19","1000"
"서울특별시교육청","서울특별시교육청","서울특별시 중랑구","S010000430","면목고등학교","04","공립","N","","13","11","240","8","4","306","0","0","272","21","15","818"
"서울특별시교육청","서울특별시교육청","서울특별시 강서구","S010000431","명덕고등학교","04","사립","N","","11","10","296","3","7","323","2","0","369","16","17","988"
